trilha,dataset,rank,model,auc_mean,auc_std,auc_fmt
Trilha A,BW,1,Coarse Gaussian SVM,0.7789855072463767,0.0868211706616113,0.779 ± 0.087
Trilha A,BW,2,Boosted Trees,0.7723320158102768,0.0827721211919717,0.772 ± 0.083
Trilha A,BW,3,RUSBoosted Trees,0.7723320158102768,0.0827721211919717,0.772 ± 0.083
Trilha A,BW,4,Bagged Trees,0.7719038208168643,0.0642184376563567,0.772 ± 0.064
Trilha A,BW,5,Subspace Discriminant,0.768840579710145,0.0628613156752834,0.769 ± 0.063
Trilha B,BW,1,Medium Gaussian SVM,0.7984848484848486,0.0620735156830569,0.798 ± 0.062
Trilha B,BW,2,Cubic SVM,0.7668642951251646,0.0200510388006424,0.767 ± 0.020
Trilha B,BW,3,Cosine KNN,0.7617588932806324,0.0564854495293261,0.762 ± 0.056
Trilha B,BW,4,Coarse Gaussian SVM,0.7594202898550725,0.084163224359113,0.759 ± 0.084
Trilha B,BW,5,Bagged Trees,0.7518115942028986,0.0769287091045871,0.752 ± 0.077
Trilha A,BW+Doppler,1,Subspace Discriminant,0.8079051383399211,0.0565424655881349,0.808 ± 0.057
Trilha A,BW+Doppler,2,Coarse Gaussian SVM,0.8043478260869564,0.084662518485314,0.804 ± 0.085
Trilha A,BW+Doppler,3,Bagged Trees,0.7944993412384717,0.0663602437269778,0.794 ± 0.066
Trilha A,BW+Doppler,4,Medium Gaussian SVM,0.7942687747035573,0.0758347547518766,0.794 ± 0.076
Trilha A,BW+Doppler,5,Boosted Trees,0.7917984189723319,0.040501299516697,0.792 ± 0.041
Trilha B,BW+Doppler,1,Medium Gaussian SVM,0.814822134387352,0.0553063161659861,0.815 ± 0.055
Trilha B,BW+Doppler,2,Weighted KNN,0.7866271409749671,0.0713181692801649,0.787 ± 0.071
Trilha B,BW+Doppler,3,Subspace KNN,0.7843214756258234,0.0775097817632041,0.784 ± 0.078
Trilha B,BW+Doppler,4,Medium KNN,0.776185770750988,0.0774580029677358,0.776 ± 0.077
Trilha B,BW+Doppler,5,Coarse KNN,0.7659420289855073,0.0743063147400066,0.766 ± 0.074
Trilha A,Doppler,1,Subspace Discriminant,0.8254281949934125,0.0650648326774096,0.825 ± 0.065
Trilha A,Doppler,2,Coarse Gaussian SVM,0.8233201581027668,0.0776113905389102,0.823 ± 0.078
Trilha A,Doppler,3,Linear SVM,0.8204874835309617,0.0582108167503799,0.820 ± 0.058
Trilha A,Doppler,4,Cosine KNN,0.8187417654808959,0.0567307666139553,0.819 ± 0.057
Trilha A,Doppler,5,Logistic Regression,0.8183135704874835,0.0609949145371695,0.818 ± 0.061
Trilha B,Doppler,1,Medium Gaussian SVM,0.8250329380764164,0.0486906327797674,0.825 ± 0.049
Trilha B,Doppler,2,Coarse KNN,0.8148550724637682,0.0825052725932933,0.815 ± 0.083
Trilha B,Doppler,3,Weighted KNN,0.8057971014492754,0.0627705373738827,0.806 ± 0.063
Trilha B,Doppler,4,Subspace KNN,0.7956192358366272,0.0827579903443133,0.796 ± 0.083
Trilha B,Doppler,5,Coarse Gaussian SVM,0.7918313570487484,0.0869844647082531,0.792 ± 0.087
