dataset,model,dx,label,acc_mean,acc_std,n_folds_seen,n_images
BW,Bagged Trees,AK,MALIGNANT,0.375,0.4787135538781691,4,5
BW,Bagged Trees,ANGIOMA,BENIGN,0.75,0.3535533905932738,2,3
BW,Bagged Trees,BCC,MALIGNANT,0.5733333333333334,0.23967570682996733,5,31
BW,Bagged Trees,CYST,BENIGN,0.9216666666666666,0.07536946036396673,5,40
BW,Bagged Trees,DERMATOFIBROMA,BENIGN,0.9099999999999999,0.12449899597988731,5,21
BW,Bagged Trees,FAT NECROSIS,BENIGN,1.0,,1,1
BW,Bagged Trees,FIBROFOLLICULOMA,BENIGN,1.0,0.0,2,2
BW,Bagged Trees,FIBROMA,BENIGN,1.0,,1,1
BW,Bagged Trees,HEMANGIOMA,BENIGN,0.0,,1,1
BW,Bagged Trees,KA,MALIGNANT,0.0,,1,1
BW,Bagged Trees,LEIOMYOMA,BENIGN,1.0,0.0,2,4
BW,Bagged Trees,LIPOMA,BENIGN,0.9,0.09128709291752768,5,26
BW,Bagged Trees,LYMPHOMA,MALIGNANT,0.75,0.3535533905932738,2,3
BW,Bagged Trees,MERKEL,MALIGNANT,1.0,,1,1
BW,Bagged Trees,METASTASIS,MALIGNANT,0.5,0.5,3,4
BW,Bagged Trees,NEUROFIBROMA,BENIGN,0.5,,1,2
BW,Bagged Trees,OSTEOMA,BENIGN,1.0,,1,1
BW,Bagged Trees,PILOMATRICOMA,BENIGN,0.0,,1,1
BW,Bagged Trees,SCC,MALIGNANT,0.31666666666666665,0.3666666666666667,4,11
BW,Bagged Trees,SCHWANNOMA,BENIGN,1.0,0.0,2,2
BW,Bagged Trees,SEBK,BENIGN,0.625,0.47871355387816905,4,7
BW,Bagged Trees,SK,BENIGN,1.0,,1,1
BW,Bagged Trees,VENOUS MALFORMATION,BENIGN,1.0,0.0,2,2
BW,Boosted Trees,AK,MALIGNANT,0.375,0.4787135538781691,4,5
BW,Boosted Trees,ANGIOMA,BENIGN,1.0,0.0,2,3
BW,Boosted Trees,BCC,MALIGNANT,0.5983333333333334,0.2366138438703685,5,31
BW,Boosted Trees,CYST,BENIGN,0.9216666666666666,0.07536946036396673,5,40
BW,Boosted Trees,DERMATOFIBROMA,BENIGN,0.8714285714285713,0.1252548422625013,5,21
BW,Boosted Trees,FAT NECROSIS,BENIGN,1.0,,1,1
BW,Boosted Trees,FIBROFOLLICULOMA,BENIGN,1.0,0.0,2,2
BW,Boosted Trees,FIBROMA,BENIGN,1.0,,1,1
BW,Boosted Trees,HEMANGIOMA,BENIGN,1.0,,1,1
BW,Boosted Trees,KA,MALIGNANT,0.0,,1,1
BW,Boosted Trees,LEIOMYOMA,BENIGN,0.5,0.7071067811865476,2,4
BW,Boosted Trees,LIPOMA,BENIGN,0.9333333333333333,0.09128709291752767,5,26
BW,Boosted Trees,LYMPHOMA,MALIGNANT,0.5,0.7071067811865476,2,3
BW,Boosted Trees,MERKEL,MALIGNANT,1.0,,1,1
BW,Boosted Trees,METASTASIS,MALIGNANT,0.5,0.5,3,4
BW,Boosted Trees,NEUROFIBROMA,BENIGN,0.0,,1,2
BW,Boosted Trees,OSTEOMA,BENIGN,1.0,,1,1
BW,Boosted Trees,PILOMATRICOMA,BENIGN,0.0,,1,1
BW,Boosted Trees,SCC,MALIGNANT,0.18333333333333335,0.21343747458109497,4,11
BW,Boosted Trees,SCHWANNOMA,BENIGN,1.0,0.0,2,2
BW,Boosted Trees,SEBK,BENIGN,0.7083333333333333,0.34359213546813844,4,7
BW,Boosted Trees,SK,BENIGN,1.0,,1,1
BW,Boosted Trees,VENOUS MALFORMATION,BENIGN,1.0,0.0,2,2
BW,Coarse Gaussian SVM,AK,MALIGNANT,0.375,0.4787135538781691,4,5
BW,Coarse Gaussian SVM,ANGIOMA,BENIGN,1.0,0.0,2,3
BW,Coarse Gaussian SVM,BCC,MALIGNANT,0.44833333333333336,0.1732451698861728,5,31
BW,Coarse Gaussian SVM,CYST,BENIGN,0.9666666666666666,0.07453559924999298,5,40
BW,Coarse Gaussian SVM,DERMATOFIBROMA,BENIGN,0.9,0.13693063937629152,5,21
BW,Coarse Gaussian SVM,FAT NECROSIS,BENIGN,1.0,,1,1
BW,Coarse Gaussian SVM,FIBROFOLLICULOMA,BENIGN,1.0,0.0,2,2
BW,Coarse Gaussian SVM,FIBROMA,BENIGN,1.0,,1,1
BW,Coarse Gaussian SVM,HEMANGIOMA,BENIGN,0.0,,1,1
BW,Coarse Gaussian SVM,KA,MALIGNANT,0.0,,1,1
BW,Coarse Gaussian SVM,LEIOMYOMA,BENIGN,1.0,0.0,2,4
BW,Coarse Gaussian SVM,LIPOMA,BENIGN,0.9666666666666666,0.07453559924999296,5,26
BW,Coarse Gaussian SVM,LYMPHOMA,MALIGNANT,0.5,0.7071067811865476,2,3
BW,Coarse Gaussian SVM,MERKEL,MALIGNANT,1.0,,1,1
BW,Coarse Gaussian SVM,METASTASIS,MALIGNANT,0.5,0.5,3,4
BW,Coarse Gaussian SVM,NEUROFIBROMA,BENIGN,1.0,,1,2
