dataset,model,k_features,auc,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,fold
BW,Simple Tree,20,0.670138888888889,0.6388888888888888,0.75,0.5833333333333334,0.47368421052631576,0.5806451612903226,14,10,3,9,0
BW,Simple Tree,20,0.6145833333333334,0.5555555555555556,0.6666666666666666,0.5,0.4,0.5,12,12,4,8,1
BW,Simple Tree,20,0.6232638888888888,0.6666666666666666,0.5,0.75,0.5,0.5,18,6,6,6,2
BW,Simple Tree,20,0.7318840579710145,0.6,0.4166666666666667,0.6956521739130435,0.4166666666666667,0.4166666666666667,16,7,7,5,3
BW,Simple Tree,20,0.8278985507246377,0.7428571428571429,0.5,0.8695652173913043,0.6666666666666666,0.5714285714285714,20,3,6,6,4
BW,Medium Tree,20,0.6874999999999999,0.6944444444444444,0.6666666666666666,0.7083333333333334,0.5333333333333333,0.5925925925925926,17,7,4,8,0
BW,Medium Tree,20,0.47916666666666663,0.4722222222222222,0.5,0.4583333333333333,0.3157894736842105,0.3870967741935484,11,13,6,6,1
BW,Medium Tree,20,0.6458333333333333,0.6666666666666666,0.5833333333333334,0.7083333333333334,0.5,0.5384615384615384,17,7,5,7,2
BW,Medium Tree,20,0.641304347826087,0.6857142857142857,0.5,0.782608695652174,0.5454545454545454,0.5217391304347826,18,5,6,6,3
BW,Medium Tree,20,0.7644927536231885,0.7428571428571429,0.8333333333333334,0.6956521739130435,0.5882352941176471,0.6896551724137931,16,7,2,10,4
BW,Complex Tree,20,0.6874999999999999,0.6944444444444444,0.6666666666666666,0.7083333333333334,0.5333333333333333,0.5925925925925926,17,7,4,8,0
BW,Complex Tree,20,0.47916666666666663,0.4722222222222222,0.5,0.4583333333333333,0.3157894736842105,0.3870967741935484,11,13,6,6,1
BW,Complex Tree,20,0.6458333333333333,0.6666666666666666,0.5833333333333334,0.7083333333333334,0.5,0.5384615384615384,17,7,5,7,2
BW,Complex Tree,20,0.641304347826087,0.6857142857142857,0.5,0.782608695652174,0.5454545454545454,0.5217391304347826,18,5,6,6,3
BW,Complex Tree,20,0.7644927536231885,0.7428571428571429,0.8333333333333334,0.6956521739130435,0.5882352941176471,0.6896551724137931,16,7,2,10,4
BW,Linear Discriminant Analysis,20,0.8472222222222222,0.7777777777777778,0.4166666666666667,0.9583333333333334,0.8333333333333334,0.5555555555555556,23,1,7,5,0
BW,Linear Discriminant Analysis,20,0.6180555555555556,0.6111111111111112,0.4166666666666667,0.7083333333333334,0.4166666666666667,0.4166666666666667,17,7,7,5,1
BW,Linear Discriminant Analysis,20,0.5555555555555556,0.6111111111111112,0.3333333333333333,0.75,0.4,0.36363636363636365,18,6,8,4,2
BW,Linear Discriminant Analysis,20,0.7536231884057971,0.7142857142857143,0.4166666666666667,0.8695652173913043,0.625,0.5,20,3,7,5,3
BW,Linear Discriminant Analysis,20,0.7862318840579711,0.8285714285714286,0.6666666666666666,0.9130434782608695,0.8,0.7272727272727273,21,2,4,8,4
