k,k_numeric,dataset,best_model,kfold_auc_mean,kfold_auc_std,threshold_youden,test_auc,test_accuracy,test_sens,test_spec,test_f1,test_auc_youden,test_sens_youden,test_spec_youden
5,5,BW,Medium KNN,0.7301177536231884,0.05362553020058447,0.7,0.8296703296703297,0.9,0.7142857142857143,1.0,0.8333333333333334,0.8296703296703297,0.42857142857142855,1.0
5,5,Doppler,Weighted KNN,0.8209842995169083,0.07379812610685005,1.0,0.923076923076923,0.8,0.5714285714285714,0.9230769230769231,0.6666666666666666,0.923076923076923,0.14285714285714285,1.0
5,5,BW+Doppler,Medium Gaussian SVM,0.8056763285024153,0.05139021936094518,0.29676742308041093,0.8241758241758241,0.9,0.7142857142857143,1.0,0.8333333333333334,0.8241758241758241,0.7142857142857143,0.9230769230769231
10,10,BW,Weighted KNN,0.7507246376811594,0.07635907172359123,1.0,0.8461538461538461,0.8,0.5714285714285714,0.9230769230769231,0.6666666666666666,0.8461538461538461,0.14285714285714285,1.0
10,10,Doppler,Weighted KNN,0.8333484299516908,0.08466393546639192,1.0,0.956043956043956,0.8,0.5714285714285714,0.9230769230769231,0.6666666666666666,0.956043956043956,0.14285714285714285,1.0
10,10,BW+Doppler,Cosine KNN,0.813647342995169,0.07634188993538774,0.4,0.9120879120879121,0.8,0.5714285714285714,0.9230769230769231,0.6666666666666666,0.9120879120879121,0.7142857142857143,0.9230769230769231
15,15,BW,Medium Gaussian SVM,0.7618659420289855,0.0806841928244806,0.33264112442833355,0.9230769230769231,0.9,0.7142857142857143,1.0,0.8333333333333334,0.9230769230769231,0.7142857142857143,1.0
15,15,Doppler,Weighted KNN,0.8262530193236713,0.0715621176869836,1.0,0.9340659340659341,0.75,0.5714285714285714,0.8461538461538461,0.6153846153846154,0.9340659340659341,0.14285714285714285,1.0
15,15,BW+Doppler,Linear Discriminant Analysis,0.815096618357488,0.08490912589401343,0.2783337313959238,0.9340659340659341,0.9,0.7142857142857143,1.0,0.8333333333333334,0.9340659340659341,0.7142857142857143,0.8461538461538461
20,20,BW,Medium Gaussian SVM,0.7553442028985508,0.07220424541590789,0.3360409113812799,0.901098901098901,0.9,0.7142857142857143,1.0,0.8333333333333334,0.901098901098901,0.7142857142857143,1.0
20,20,Doppler,Subspace KNN,0.8259208937198068,0.07385324333886642,0.4466666666666668,0.9340659340659341,0.75,0.5714285714285714,0.8461538461538461,0.6153846153846154,0.9340659340659341,0.8571428571428571,0.8461538461538461
20,20,BW+Doppler,Subspace KNN,0.8160628019323672,0.07477058651055257,0.24999999999999997,0.9230769230769231,0.85,0.7142857142857143,0.9230769230769231,0.7692307692307693,0.9230769230769231,1.0,0.7692307692307693
30,30,BW,Subspace Discriminant,0.7535929951690822,0.08531223925294429,0.38656916477552367,0.945054945054945,0.9,0.7142857142857143,1.0,0.8333333333333334,0.945054945054945,0.7142857142857143,1.0
30,30,Doppler,Weighted KNN,0.8234450483091788,0.07889565549839703,0.9999998619611247,0.9230769230769231,0.8,0.5714285714285714,0.9230769230769231,0.6666666666666666,0.9230769230769231,0.0,1.0
30,30,BW+Doppler,Medium Gaussian SVM,0.807759661835749,0.049027866657898884,0.20243829189608048,0.967032967032967,0.9,0.7142857142857143,1.0,0.8333333333333334,0.967032967032967,1.0,0.8461538461538461
50,50,BW,Subspace Discriminant,0.756219806763285,0.08012185978677927,0.30774169231468573,0.978021978021978,0.85,0.5714285714285714,1.0,0.7272727272727273,0.978021978021978,0.8571428571428571,1.0
50,50,Doppler,Bagged Trees,0.8282155797101449,0.07715811195243144,0.6,0.7582417582417582,0.75,0.5714285714285714,0.8461538461538461,0.6153846153846154,0.7582417582417582,0.5714285714285714,1.0
50,50,BW+Doppler,Medium Gaussian SVM,0.8104166666666666,0.05511092023277987,0.26296505561879935,0.967032967032967,0.9,0.7142857142857143,1.0,0.8333333333333334,0.967032967032967,0.8571428571428571,0.8461538461538461
100,100,BW,Bagged Trees,0.7634510869565216,0.08397826114312551,0.6666666666666666,0.9065934065934066,0.75,0.5714285714285714,0.8461538461538461,0.6153846153846154,0.9065934065934066,0.42857142857142855,1.0
100,100,Doppler,Subspace Discriminant,0.832487922705314,0.07036809605282068,0.2600899431933544,0.8901098901098901,0.9,0.7142857142857143,1.0,0.8333333333333334,0.8901098901098901,0.8571428571428571,0.7692307692307693
100,100,BW+Doppler,Medium Gaussian SVM,0.803653381642512,0.061834215522959285,0.24444368338340153,0.978021978021978,0.9,0.7142857142857143,1.0,0.8333333333333334,0.978021978021978,1.0,0.8461538461538461
all,465,BW,Medium Gaussian SVM,0.773792270531401,0.07213647655396517,0.24692892872000258,0.956043956043956,0.85,0.5714285714285714,1.0,0.7272727272727273,0.956043956043956,0.7142857142857143,0.9230769230769231
all,465,Doppler,Medium Gaussian SVM,0.8202294685990339,0.07213027122814121,0.5919213252298366,0.8791208791208791,0.8,0.5714285714285714,0.9230769230769231,0.6666666666666666,0.8791208791208791,0.5714285714285714,1.0
all,930,BW+Doppler,Medium Gaussian SVM,0.8032004830917874,0.0619134092780436,0.3060206712687991,0.9780219780219781,0.85,0.5714285714285714,1.0,0.7272727272727273,0.9780219780219781,1.0,0.9230769230769231
