dataset,dx,label,n_images,n_correct,accuracy
BW,AK,MALIGNANT,1,0,0.0
BW,METASTASIS,MALIGNANT,1,0,0.0
BW,BCC,MALIGNANT,3,1,0.3333333333333333
BW,CYST,BENIGN,7,7,1.0
BW,DERMATOFIBROMA,BENIGN,1,1,1.0
BW,INTRADERMAL NEVUS,BENIGN,1,1,1.0
BW,LIPOMA,BENIGN,2,2,1.0
BW,NEUROFIBROMA,BENIGN,1,1,1.0
BW,SCC,MALIGNANT,2,2,1.0
BW,SEBK,BENIGN,1,1,1.0
BW+Doppler,AK,MALIGNANT,1,0,0.0
BW+Doppler,SEBK,BENIGN,1,0,0.0
BW+Doppler,BCC,MALIGNANT,3,1,0.3333333333333333
BW+Doppler,CYST,BENIGN,7,5,0.7142857142857143
BW+Doppler,DERMATOFIBROMA,BENIGN,1,1,1.0
BW+Doppler,INTRADERMAL NEVUS,BENIGN,1,1,1.0
BW+Doppler,LIPOMA,BENIGN,2,2,1.0
BW+Doppler,METASTASIS,MALIGNANT,1,1,1.0
BW+Doppler,NEUROFIBROMA,BENIGN,1,1,1.0
BW+Doppler,SCC,MALIGNANT,2,2,1.0
Doppler,AK,MALIGNANT,1,0,0.0
Doppler,METASTASIS,MALIGNANT,1,0,0.0
Doppler,SEBK,BENIGN,1,0,0.0
Doppler,BCC,MALIGNANT,3,1,0.3333333333333333
Doppler,SCC,MALIGNANT,2,1,0.5
Doppler,CYST,BENIGN,7,7,1.0
Doppler,DERMATOFIBROMA,BENIGN,1,1,1.0
Doppler,INTRADERMAL NEVUS,BENIGN,1,1,1.0
Doppler,LIPOMA,BENIGN,2,2,1.0
Doppler,NEUROFIBROMA,BENIGN,1,1,1.0
