dataset,model,auc,accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,fold
BW,Simple Tree,0.8007246376811594,0.8571428571428571,0.75,0.9130434782608695,0.8181818181818182,0.782608695652174,21,2,3,9,0
BW,Simple Tree,0.5158102766798419,0.5882352941176471,0.45454545454545453,0.6521739130434783,0.38461538461538464,0.4166666666666667,15,8,6,5,1
BW,Simple Tree,0.6758893280632412,0.7352941176470589,0.8181818181818182,0.6956521739130435,0.5625,0.6666666666666666,16,7,2,9,2
BW,Simple Tree,0.8142292490118578,0.7058823529411765,0.5454545454545454,0.782608695652174,0.5454545454545454,0.5454545454545454,18,5,5,6,3
BW,Simple Tree,0.642292490118577,0.7058823529411765,0.6363636363636364,0.7391304347826086,0.5384615384615384,0.5833333333333334,17,6,4,7,4
BW,Medium Tree,0.7463768115942029,0.7714285714285715,0.6666666666666666,0.8260869565217391,0.6666666666666666,0.6666666666666666,19,4,4,8,0
BW,Medium Tree,0.575098814229249,0.6176470588235294,0.45454545454545453,0.6956521739130435,0.4166666666666667,0.43478260869565216,16,7,6,5,1
BW,Medium Tree,0.7569169960474309,0.7352941176470589,0.8181818181818182,0.6956521739130435,0.5625,0.6666666666666666,16,7,2,9,2
BW,Medium Tree,0.6857707509881422,0.7352941176470589,0.5454545454545454,0.8260869565217391,0.6,0.5714285714285714,19,4,5,6,3
BW,Medium Tree,0.6877470355731224,0.7058823529411765,0.6363636363636364,0.7391304347826086,0.5384615384615384,0.5833333333333334,17,6,4,7,4
BW,Complex Tree,0.7463768115942029,0.7714285714285715,0.6666666666666666,0.8260869565217391,0.6666666666666666,0.6666666666666666,19,4,4,8,0
BW,Complex Tree,0.575098814229249,0.6176470588235294,0.45454545454545453,0.6956521739130435,0.4166666666666667,0.43478260869565216,16,7,6,5,1
BW,Complex Tree,0.7569169960474309,0.7352941176470589,0.8181818181818182,0.6956521739130435,0.5625,0.6666666666666666,16,7,2,9,2
BW,Complex Tree,0.6857707509881422,0.7352941176470589,0.5454545454545454,0.8260869565217391,0.6,0.5714285714285714,19,4,5,6,3
BW,Complex Tree,0.6877470355731224,0.7058823529411765,0.6363636363636364,0.7391304347826086,0.5384615384615384,0.5833333333333334,17,6,4,7,4
BW,Linear Discriminant Analysis,0.6739130434782609,0.6,0.6666666666666666,0.5652173913043478,0.4444444444444444,0.5333333333333333,13,10,4,8,0
BW,Linear Discriminant Analysis,0.6007905138339921,0.5882352941176471,0.45454545454545453,0.6521739130434783,0.38461538461538464,0.4166666666666667,15,8,6,5,1
BW,Linear Discriminant Analysis,0.3913043478260869,0.5,0.18181818181818182,0.6521739130434783,0.2,0.19047619047619047,15,8,9,2,2
BW,Linear Discriminant Analysis,0.691699604743083,0.7647058823529411,0.6363636363636364,0.8260869565217391,0.6363636363636364,0.6363636363636364,19,4,4,7,3
BW,Linear Discriminant Analysis,0.5177865612648221,0.5588235294117647,0.36363636363636365,0.6521739130434783,0.3333333333333333,0.34782608695652173,15,8,7,4,4
BW,Logistic Regression,0.8297101449275364,0.7428571428571429,0.5833333333333334,0.8260869565217391,0.6363636363636364,0.6086956521739131,19,4,5,7,0
BW,Logistic Regression,0.7628458498023716,0.7941176470588235,0.6363636363636364,0.8695652173913043,0.7,0.6666666666666666,20,3,4,7,1
